chord_1,chord_2,chord_3,chord_4
I,iii<sup>7</sup>,iii<sup>4</sup><sub>3</sub>,iii<sup>7</sup>
I,♭III,IV,I
I,♭III,IV,V
I,♭III,IV,♭VII
I,♭III,IV,♭VI
I,♭III,IV,♭III
I,♭III,IV,V/V
I,♭III,IV,Ib7
I,♭III,IV,V<sup>7</sup>
I,♭III,I,♭III
I,♭III,I,IV
I,♭III,I,i<sup>6</sup><sub>5</sub>
I,♭III,♭VII,IV
I,♭III,♭VII,♭III
I,♭III,♭VII,♭II
I,♭III,V,I
I,♭III,V,iii
I,♭III,V,V<sup>7</sup>
I,♭III,V,IV
I,♭III,V/V,IV
I,♭III,V/V,♭II
I,♭III,♭VII<sup>6</sup>,I
I,♭III,ii,I
I,♭III,v,♭V
I,♭III,v,V
I,♭III,♭VI,IV
I,♭III,♭VI,v<sup>7</sup>
I,♭III,IVb7,I
I,♭III,♭II,I
I,♭III,I<sup>4</sup><sub>3</sub>,V<sup>7</sup>/ii
I,♭III,♭III,I
I,♭III,IV,V
I,♭III,vii°,I
I,V<sup>7</sup>/vi,vi,IV
I,V<sup>7</sup>/vi,vi,V
I,V<sup>7</sup>/vi,vi,V<sup>7</sup>/IV
I,V<sup>7</sup>/vi,vi,I<sup>6</sup>
I,V<sup>7</sup>/vi,vi,V<sup>6</sup><sub>5</sub>/vi
I,V<sup>7</sup>/vi,vi,I
I,V<sup>7</sup>/vi,vi,V<sup>6</sup>/vi
I,V<sup>7</sup>/vi,vi,V<sup>7</sup>/vi
I,V<sup>7</sup>/vi,vi,vi<sup>7</sup>
I,V<sup>7</sup>/vi,vi,V<sup>7</sup>
I,V<sup>7</sup>/vi,vi,Ib7
I,V<sup>7</sup>/vi,vi,IV<sup>7</sup>
I,V<sup>7</sup>/vi,vi,ii
I,V<sup>7</sup>/vi,vi,V<sup>7</sup>/ii
I,V<sup>7</sup>/vi,vi,vii°/V
I,V<sup>7</sup>/vi,vi,vi<sup>4</sup><sub>2</sub>
I,V<sup>7</sup>/vi,vi,ii<sup>7</sup>
I,V<sup>7</sup>/vi,vi,V/vi
I,V<sup>7</sup>/vi,vi,V<sup>7</sup>/V
I,V<sup>7</sup>/vi,vi,iii
I,V<sup>7</sup>/vi,IV,IV<sup>7</sup>
I,V<sup>7</sup>/vi,IV,iv
I,V<sup>7</sup>/vi,IV,II<sup>7</sup>
I,V<sup>7</sup>/vi,IV,V
I,V<sup>7</sup>/vi,IV,iv<sup>7</sup>
I,V<sup>7</sup>/vi,IV,I
I,V<sup>7</sup>/vi,IV,V<sup>7</sup>/V
I,V<sup>7</sup>/vi,IV,#iv°
I,V<sup>7</sup>/vi,IV,V/vi
I,V<sup>7</sup>/vi,IV,V<sup>7</sup>/vi
I,V<sup>7</sup>/vi,vi<sup>7</sup>,v<sup>7</sup>
I,V<sup>7</sup>/vi,vi<sup>7</sup>,Ib7
I,V<sup>7</sup>/vi,IVb7,II<sup>7</sup>
I,V<sup>7</sup>/vi,ii<sup>7</sup>,V<sup>7</sup>
I,V<sup>7</sup>/vi,V<sup>4</sup><sub>2</sub>/vi,V<sup>7</sup>/vi
I,V<sup>7</sup>/vi,V<sup>6</sup><sub>5</sub>/iii,ii
I,V<sup>7</sup>/vi,V<sup>6</sup><sub>5</sub>/vi,vi
I,V<sup>7</sup>/vi,ii,IV
I,V<sup>7</sup>/vi,V<sup>7</sup>/ii,ii<sup>7</sup>
IV,I,V,vi
IV,I,V,IV
IV,I,V,I
IV,I,V,ii
IV,I,V,vi<sup>7</sup>
IV,I,V,♭VII
IV,I,V,iii
IV,I,V,V/V
IV,I,V,V/vi
IV,I,IV,I
IV,I,IV,V
IV,I,IV,vi
