id html probability child_path
1 I 0.145 1
4 IV 0.142 4
6 vi 0.138 6
5 V 0.137 5
2 ii 0.049 2
3 iii 0.034 3
27 ii<sup>7</sup> 0.022 27
47 IV<sup>7</sup> 0.022 47
67 vi<sup>7</sup> 0.02 67
16 I<sup>6</sup> 0.017 16
56 V<sup>6</sup> 0.014 56
5/6 V/vi 0.014 5/6
37 iii<sup>7</sup> 0.012 37
164 I<sup>6</sup><sub>4</sub> 0.012 164
57 V<sup>7</sup> 0.012 57
b7 ♭VII 0.012 b7
17 I<sup>7</sup> 0.008 17
5/5 V/V 0.007 5/5
664 vi<sup>6</sup><sub>4</sub> 0.007 664
464 IV<sup>6</sup><sub>4</sub> 0.007 464
57/6 V<sup>7</sup>/vi 0.006 57/6
46 IV<sup>6</sup> 0.006 46
66 vi<sup>6</sup> 0.006 66
564 V<sup>6</sup><sub>4</sub> 0.006 564
5 V 0.252 1,5
4 IV 0.182 1,4
6 vi 0.1 1,6
2 ii 0.06 1,2
56 V<sup>6</sup> 0.048 1,56
3 iii 0.038 1,3
16 I<sup>6</sup> 0.022 1,16
164 I<sup>6</sup><sub>4</sub> 0.021 1,164
b7 &#9837;VII 0.021 1,b7
464 IV<sup>6</sup><sub>4</sub> 0.016 1,464
27 ii<sup>7</sup> 0.015 1,27
5/6 V/vi 0.015 1,5/6
47 IV<sup>7</sup> 0.013 1,47
5/5 V/V 0.012 1,5/5
364 iii<sup>6</sup><sub>4</sub> 0.012 1,364
67 vi<sup>7</sup> 0.009 1,67
17 I<sup>7</sup> 0.009 1,17
57 V<sup>7</sup> 0.009 1,57
142 I<sup>4</sup><sub>2</sub> 0.007 1,142
564 V<sup>6</sup><sub>4</sub> 0.007 1,564
37 iii<sup>7</sup> 0.007 1,37
b3 &#9837;III 0.006 1,b3
57/6 V<sup>7</sup>/vi 0.005 1,57/6
1 I 0.289 4,1
5 V 0.288 4,5
6 vi 0.096 4,6
2 ii 0.048 4,2
3 iii 0.044 4,3
16 I<sup>6</sup> 0.036 4,16
5/6 V/vi 0.021 4,5/6
47 IV<sup>7</sup> 0.01 4,47
27 ii<sup>7</sup> 0.01 4,27
67 vi<sup>7</sup> 0.009 4,67
164 I<sup>6</sup><sub>4</sub> 0.009 4,164
b7 &#9837;VII 0.008 4,b7
57 V<sup>7</sup> 0.008 4,57
664 vi<sup>6</sup><sub>4</sub> 0.007 4,664
b4 iv 0.007 4,b4
464 IV<sup>6</sup><sub>4</sub> 0.007 4,464
46 IV<sup>6</sup> 0.005 4,46
37 iii<sup>7</sup> 0.005 4,37
542 V<sup>4</sup><sub>2</sub> 0.005 4,542
4 IV 0.232 6,4
5 V 0.202 6,5
1 I 0.106 6,1
2 ii 0.063 6,2
3 iii 0.06 6,3
56 V<sup>6</sup> 0.022 6,56
47 IV<sup>7</sup> 0.021 6,47
664 vi<sup>6</sup><sub>4</sub> 0.02 6,664
642 vi<sup>4</sup><sub>2</sub> 0.017 6,642
5/6 V/vi 0.017 6,5/6
66 vi<sup>6</sup> 0.014 6,66
164 I<sup>6</sup><sub>4</sub> 0.014 6,164
27 ii<sup>7</sup> 0.013 6,27
67 vi<sup>7</sup> 0.013 6,67
36 iii<sup>6</sup> 0.013 6,36
b7 &#9837;VII 0.01 6,b7
16 I<sup>6</sup> 0.01 6,16
46 IV<sup>6</sup> 0.009 6,46
56/6 V<sup>6</sup>/vi 0.009 6,56/6
5/5 V/V 0.008 6,5/5
57/6 V<sup>7</sup>/vi 0.007 6,57/6
37 iii<sup>7</sup> 0.007 6,37
26 ii<sup>6</sup> 0.005 6,26
6 vi 0.26 5,6
1 I 0.211 5,1
4 IV 0.205 5,4
2 ii 0.064 5,2
3 iii 0.04 5,3
67 vi<sup>7</sup> 0.02 5,67
27 ii<sup>7</sup> 0.014 5,27
47 IV<sup>7</sup> 0.013 5,47
b7 &#9837;VII 0.011 5,b7
57 V<sup>7</sup> 0.01 5,57
56 V<sup>6</sup> 0.01 5,56
16 I<sup>6</sup> 0.009 5,16
5/5 V/V 0.009 5,5/5
37 iii<sup>7</sup> 0.008 5,37
564 V<sup>6</sup><sub>4</sub> 0.008 5,564
164 I<sup>6</sup><sub>4</sub> 0.007 5,164
5/6 V/vi 0.006 5,5/6
7/6 vii&deg;/vi 0.006 5,7/6
542 V<sup>4</sup><sub>2</sub> 0.005 5,542
56/6 V<sup>6</sup>/vi 0.005 5,56/6
6 vi 0.18 2,6
5 V 0.158 2,5
4 IV 0.155 2,4
1 I 0.129 2,1
3 iii 0.088 2,3
5/6 V/vi 0.031 2,5/6
16 I<sup>6</sup> 0.03 2,16
57 V<sup>7</sup> 0.016 2,57
27 ii<sup>7</sup> 0.013 2,27
264 ii<sup>6</sup><sub>4</sub> 0.011 2,264
66 vi<sup>6</sup> 0.01 2,66
b7 &#9837;VII 0.01 2,b7
242 ii<sup>4</sup><sub>2</sub> 0.008 2,242
26 ii<sup>6</sup> 0.008 2,26
57/6 V<sup>7</sup>/vi 0.008 2,57/6
464 IV<sup>6</sup><sub>4</sub> 0.008 2,464
564 V<sup>6</sup><sub>4</sub> 0.007 2,564
664 vi<sup>6</sup><sub>4</sub> 0.007 2,664
56 V<sup>6</sup> 0.007 2,56
37 iii<sup>7</sup> 0.007 2,37
67 vi<sup>7</sup> 0.006 2,67
47 IV<sup>7</sup> 0.005 2,47
b4 iv 0.005 2,b4
164 I<sup>6</sup><sub>4</sub> 0.005 2,164
4 IV 0.326 3,4
6 vi 0.264 3,6
2 ii 0.081 3,2
5 V 0.077 3,5
1 I 0.049 3,1
47 IV<sup>7</sup> 0.02 3,47
67 vi<sup>7</sup> 0.02 3,67
27 ii<sup>7</sup> 0.016 3,27
5/5 V/V 0.014 3,5/5
36 iii<sup>6</sup> 0.007 3,36
