1,I
2,ii
3,iii
4,IV
5,V
6,vi
7,vii°
16,I<sup>6</sup>
17,I<sup>7</sup>
26,ii<sup>6</sup>
27,ii<sup>7</sup>
36,iii<sup>6</sup>
37,iii<sup>7</sup>
46,IV<sup>6</sup>
47,IV<sup>7</sup>
56,V<sup>6</sup>
57,V<sup>7</sup>
66,vi<sup>6</sup>
67,vi<sup>7</sup>
76,vii&deg;<sup>6</sup>
77,vii<sup>??</sup><sup>7</sup>
142,I<sup>4</sup><sub>2</sub>
143,I<sup>4</sup><sub>3</sub>
164,I<sup>6</sup><sub>4</sub>
165,I<sup>6</sup><sub>5</sub>
242,ii<sup>4</sup><sub>2</sub>
243,ii<sup>4</sup><sub>3</sub>
264,ii<sup>6</sup><sub>4</sub>
265,ii<sup>6</sup><sub>5</sub>
342,iii<sup>4</sup><sub>2</sub>
343,iii<sup>4</sup><sub>3</sub>
364,iii<sup>6</sup><sub>4</sub>
365,iii<sup>6</sup><sub>5</sub>
442,IV<sup>4</sup><sub>2</sub>
443,IV<sup>4</sup><sub>3</sub>
464,IV<sup>6</sup><sub>4</sub>
465,IV<sup>6</sup><sub>5</sub>
542,V<sup>4</sup><sub>2</sub>
543,V<sup>4</sup><sub>3</sub>
564,V<sup>6</sup><sub>4</sub>
565,V<sup>6</sup><sub>5</sub>
642,vi<sup>4</sup><sub>2</sub>
643,vi<sup>4</sup><sub>3</sub>
664,vi<sup>6</sup><sub>4</sub>
665,vi<sup>6</sup><sub>5</sub>
4/2,IV/ii
4/3,IV/iii
4/7,IV/vii
442/2,IV<sup>4</sup><sub>2</sub>/ii
443/3,IV<sup>4</sup><sub>3</sub>/iii
46/4,IV<sup>6</sup>/IV
46/6,IV<sup>6</sup>/vi
464/3,IV<sup>6</sup><sub>4</sub>/iii
464/4,IV<sup>6</sup><sub>4</sub>/IV
464/5,IV<sup>6</sup><sub>4</sub>/V
464/6,IV<sup>6</sup><sub>4</sub>/vi
465/4,IV<sup>6</sup><sub>5</sub>/IV
47/2,IV<sup>7</sup>/ii
47/3,IV<sup>7</sup>/iii
47/4,IV<sup>7</sup>/IV
47/6,IV<sup>7</sup>/vi
47/7,IV<sup>7</sup>/vii
5/2,V/ii
5/3,V/iii
5/5,V/V
5/6,V/vi
5/7,V/vii
542/2,V<sup>4</sup><sub>2</sub>/ii
542/3,V<sup>4</sup><sub>2</sub>/iii
542/4,V<sup>4</sup><sub>2</sub>/IV
542/5,V<sup>4</sup><sub>2</sub>/V
542/6,V<sup>4</sup><sub>2</sub>/vi
542/7,V<sup>4</sup><sub>2</sub>/vii
543/2,V<sup>4</sup><sub>3</sub>/ii
543/3,V<sup>4</sup><sub>3</sub>/iii
543/4,V<sup>4</sup><sub>3</sub>/IV
543/5,V<sup>4</sup><sub>3</sub>/V
543/6,V<sup>4</sup><sub>3</sub>/vi
56/2,V<sup>6</sup>/ii
56/3,V<sup>6</sup>/iii
56/4,V<sup>6</sup>/IV
56/5,V<sup>6</sup>/V
56/6,V<sup>6</sup>/vi
564/2,V<sup>6</sup><sub>4</sub>/ii
564/3,V<sup>6</sup><sub>4</sub>/iii
564/4,V<sup>6</sup><sub>4</sub>/IV
564/5,V<sup>6</sup><sub>4</sub>/V
564/6,V<sup>6</sup><sub>4</sub>/vi
